business_date,fund_code,fund_product_id,product_type,price_above_year_line,weekly_macd_state,volume_state,current_nav
2026-09-10,016708,13097,ETF,true,RED_EXPANDING,NORMAL,1.80050000
2026-09-10,017093,13421,ETF,true,GREEN_EXPANDING,,2.84770000
2026-09-10,017189,13506,INDEX_ENHANCED,true,GREEN_EXPANDING,,1.76230000
2026-09-10,017730,14005,ACTIVE,true,GREEN_SHRINKING,NORMAL,4.07400000
2026-09-10,019172,15299,INDEX,true,GREEN_EXPANDING,,1.75370000
2026-09-10,019736,15828,INDEX,true,GREEN_EXPANDING,,1.49110000
2026-09-10,020608,16637,ETF,false,GREEN_SHRINKING,NORMAL,1.33070000
2026-09-10,021972,17940,ETF,true,RED_EXPANDING,,1.24360000
2026-09-10,025732,21520,ETF,,RED_EXPANDING,,0.92020000
2026-09-10,026265,22033,ETF,,GREEN_SHRINKING,,0.82120000
2026-09-10,027521,23185,ETF,,,,0.89910000
2026-09-10,110026,23860,ETF,false,GREEN_SHRINKING,NORMAL,3.44980000
2026-09-10,270042,25374,ETF,true,GREEN_EXPANDING,,8.43520000
2026-09-11,003765,2583,ETF,false,GREEN_SHRINKING,NORMAL,1.81140000
2026-09-11,006479,4420,ETF,true,GREEN_EXPANDING,,7.99470000
2026-09-11,007301,5128,ETF,true,GREEN_EXPANDING,NORMAL,3.72050000
2026-09-11,008087,5778,ETF,true,GREEN_SHRINKING,NORMAL,2.93090000
2026-09-11,008163,5838,ETF,true,RED_EXPANDING,,1.75510000
2026-09-11,008585,6170,ETF,true,GREEN_EXPANDING,NORMAL,1.56370000
2026-09-11,008888,6416,ETF,true,GREEN_EXPANDING,NORMAL,1.87290000
2026-09-11,010736,7967,INDEX_ENHANCED,true,GREEN_SHRINKING,NORMAL,1.27580000
2026-09-11,011608,8713,INDEX,true,GREEN_EXPANDING,NORMAL,1.21860000
2026-09-11,012920,9883,ACTIVE,true,GREEN_SHRINKING,NORMAL,3.78180000
2026-09-11,012922,9885,ACTIVE,true,GREEN_SHRINKING,NORMAL,3.70460000
2026-09-11,013308,10208,ETF,false,RED_SHRINKING,,1.03380000
2026-09-11,013446,10333,ACTIVE,true,GREEN_EXPANDING,NORMAL,1.48910000
2026-09-11,014978,11628,ETF,true,GREEN_EXPANDING,,7.99720000
2026-09-11,015879,12383,ETF,false,RED_EXPANDING,,0.78630000
2026-09-11,016664,13060,ACTIVE,true,GREEN_SHRINKING,NORMAL,2.87960000
2026-09-11,016707,13096,ETF,false,RED_EXPANDING,NORMAL,1.80170000
2026-09-11,016708,13097,ETF,false,RED_EXPANDING,NORMAL,1.78100000
2026-09-11,017093,13421,ETF,true,GREEN_EXPANDING,,2.84630000
2026-09-11,017189,13506,INDEX_ENHANCED,true,GREEN_EXPANDING,,1.75040000
2026-09-11,017730,14005,ACTIVE,true,GREEN_SHRINKING,NORMAL,4.08610000
2026-09-11,019172,15299,INDEX,true,GREEN_EXPANDING,,1.74800000
2026-09-11,019736,15828,INDEX,true,GREEN_EXPANDING,,1.48640000
2026-09-11,020608,16637,ETF,false,GREEN_SHRINKING,NORMAL,1.31050000
2026-09-11,021972,17940,ETF,true,RED_EXPANDING,,1.23400000
2026-09-11,025732,21520,ETF,,GREEN_SHRINKING,,0.91350000
2026-09-11,026265,22033,ETF,,GREEN_SHRINKING,,0.81410000
2026-09-11,027521,23185,ETF,,,,0.88790000
2026-09-11,110026,23860,ETF,false,GREEN_SHRINKING,NORMAL,3.43400000
2026-09-11,270042,25374,ETF,true,GREEN_EXPANDING,,8.40730000
2026-09-14,003765,2583,ETF,false,GREEN_SHRINKING,NORMAL,1.80280000
2026-09-14,006479,4420,ETF,true,GREEN_EXPANDING,,7.90750000
2026-09-14,007301,5128,ETF,true,GREEN_EXPANDING,NORMAL,3.66670000
2026-09-14,008087,5778,ETF,true,GREEN_SHRINKING,NORMAL,2.93920000
2026-09-14,008163,5838,ETF,true,RED_EXPANDING,,1.75130000
2026-09-14,008585,6170,ETF,true,GREEN_EXPANDING,NORMAL,1.56200000
2026-09-14,008888,6416,ETF,true,GREEN_EXPANDING,NORMAL,1.84870000
2026-09-14,010736,7967,INDEX_ENHANCED,true,GREEN_SHRINKING,NORMAL,1.27100000
2026-09-14,011608,8713,INDEX,true,GREEN_EXPANDING,NORMAL,1.20690000
2026-09-14,012920,9883,ACTIVE,true,GREEN_SHRINKING,NORMAL,3.71340000
2026-09-14,012922,9885,ACTIVE,true,GREEN_SHRINKING,NORMAL,3.63750000
2026-09-14,013308,10208,ETF,false,RED_SHRINKING,,1.03160000
2026-09-14,013446,10333,ACTIVE,true,GREEN_EXPANDING,NORMAL,1.46910000
2026-09-14,014978,11628,ETF,true,GREEN_EXPANDING,,7.91080000
2026-09-14,015879,12383,ETF,false,RED_EXPANDING,,0.77070000
2026-09-14,016664,13060,ACTIVE,true,GREEN_SHRINKING,NORMAL,2.83150000
2026-09-14,016707,13096,ETF,false,GREEN_SHRINKING,NORMAL,1.72990000
2026-09-14,016708,13097,ETF,false,GREEN_SHRINKING,NORMAL,1.71000000
2026-09-14,017093,13421,ETF,true,GREEN_EXPANDING,,2.82460000
2026-09-14,017189,13506,INDEX_ENHANCED,true,GREEN_EXPANDING,,1.73200000
2026-09-14,017730,14005,ACTIVE,true,GREEN_SHRINKING,NORMAL,4.03180000
2026-09-14,019172,15299,INDEX,true,GREEN_EXPANDING,,1.73030000
2026-09-14,019736,15828,INDEX,true,GREEN_EXPANDING,,1.47190000
2026-09-14,020608,16637,ETF,false,GREEN_EXPANDING,NORMAL,1.29150000
2026-09-14,021972,17940,ETF,false,RED_EXPANDING,,1.22160000
2026-09-14,025732,21520,ETF,,GREEN_SHRINKING,,0.91570000
2026-09-14,026265,22033,ETF,,GREEN_EXPANDING,,0.80260000
2026-09-14,027521,23185,ETF,,,,0.87560000
2026-09-14,110026,23860,ETF,false,GREEN_SHRINKING,NORMAL,3.41800000
2026-09-14,270042,25374,ETF,true,GREEN_EXPANDING,,8.31870000
2026-09-15,003765,2583,ETF,false,GREEN_SHRINKING,NORMAL,1.78390000
2026-09-15,006479,4420,ETF,true,GREEN_EXPANDING,,7.97520000
2026-09-15,007301,5128,ETF,true,GREEN_EXPANDING,NORMAL,3.61480000
2026-09-15,008087,5778,ETF,true,GREEN_SHRINKING,NORMAL,2.85920000
2026-09-15,008163,5838,ETF,true,RED_EXPANDING,,1.75710000
2026-09-15,008585,6170,ETF,false,GREEN_EXPANDING,NORMAL,1.53420000
2026-09-15,008888,6416,ETF,true,GREEN_EXPANDING,NORMAL,1.81330000
2026-09-15,010736,7967,INDEX_ENHANCED,true,GREEN_EXPANDING,NORMAL,1.24970000
2026-09-15,011608,8713,INDEX,true,GREEN_EXPANDING,NORMAL,1.18830000
2026-09-15,012920,9883,ACTIVE,true,GREEN_SHRINKING,NORMAL,3.74730000
2026-09-15,012922,9885,ACTIVE,true,GREEN_SHRINKING,NORMAL,3.67070000
2026-09-15,013308,10208,ETF,false,GREEN_SHRINKING,,1.03020000
2026-09-15,013446,10333,ACTIVE,true,GREEN_EXPANDING,NORMAL,1.44290000
2026-09-15,014978,11628,ETF,true,GREEN_EXPANDING,,7.97920000
2026-09-15,015879,12383,ETF,false,RED_SHRINKING,,0.76150000
2026-09-15,016664,13060,ACTIVE,true,GREEN_SHRINKING,NORMAL,2.81340000
2026-09-15,016707,13096,ETF,false,GREEN_EXPANDING,NORMAL,1.71860000
2026-09-15,016708,13097,ETF,false,GREEN_EXPANDING,NORMAL,1.69880000
2026-09-15,017093,13421,ETF,true,GREEN_EXPANDING,,2.84710000
2026-09-15,017189,13506,INDEX_ENHANCED,true,GREEN_EXPANDING,,1.70340000
2026-09-15,017730,14005,ACTIVE,true,GREEN_SHRINKING,NORMAL,4.03940000
2026-09-15,019172,15299,INDEX,true,GREEN_EXPANDING,,1.74450000
2026-09-15,019736,15828,INDEX,true,GREEN_EXPANDING,,1.48360000
2026-09-15,020608,16637,ETF,false,GREEN_SHRINKING,NORMAL,1.29590000
2026-09-15,021972,17940,ETF,false,RED_EXPANDING,,1.21810000
2026-09-15,025732,21520,ETF,,RED_EXPANDING,,0.89440000
2026-09-15,026265,22033,ETF,,GREEN_SHRINKING,,0.80790000
2026-09-15,027521,23185,ETF,,,,0.86600000
2026-09-15,110026,23860,ETF,false,GREEN_SHRINKING,NORMAL,3.38290000
2026-09-15,270042,25374,ETF,true,GREEN_EXPANDING,,8.38770000
2026-09-16,003765,2583,ETF,false,GREEN_EXPANDING,NORMAL,1.76440000
2026-09-16,006479,4420,ETF,true,GREEN_EXPANDING,,7.90350000
2026-09-16,007301,5128,ETF,true,GREEN_EXPANDING,NORMAL,3.67650000
2026-09-16,008087,5778,ETF,true,GREEN_SHRINKING,NORMAL,2.84390000
2026-09-16,008163,5838,ETF,true,RED_SHRINKING,,1.75140000
